account_id,account_type,country,created_at,status
ACC_000001,salary,IN,2025-07-23T21:28:05,active
ACC_000002,savings,IN,2024-11-30T09:27:14,active
ACC_000003,current,IN,2024-11-17T19:50:03,inactive
ACC_000004,current,IN,2024-08-05T14:07:24,active
ACC_000005,salary,IN,2024-05-15T21:47:29,suspended
ACC_000006,salary,IN,2026-08-24T11:35:09,active
ACC_000007,salary,IN,2023-12-12T04:25:38,active
ACC_000008,savings,IN,2025-04-18T17:04:11,active
ACC_000009,savings,IN,2025-01-22T13:26:20,active
ACC_000010,salary,IN,2026-04-09T02:14:16,active
ACC_000011,salary,IN,2024-02-01T20:43:35,active
ACC_000012,current,IN,2024-07-15T20:51:49,active
ACC_000013,salary,IN,2025-08-29T09:54:57,active
ACC_000014,salary,IN,2025-10-30T23:14:46,active
ACC_000015,salary,IN,2026-05-07T18:48:20,inactive
ACC_000016,current,IN,2024-06-21T04:53:38,active
ACC_000017,savings,IN,2025-02-16T07:53:12,active
ACC_000018,savings,IN,2024-11-21T15:40:50,active
ACC_000019,savings,IN,2026-02-25T02:49:48,active
ACC_000020,salary,IN,2024-10-17T21:26:27,active
ACC_000021,current,IN,2024-01-09T16:32:27,active
ACC_000022,savings,IN,2026-02-03T09:52:18,active
ACC_000023,current,IN,2023-12-20T22:28:23,inactive
ACC_000024,savings,IN,2024-04-27T01:23:37,active
ACC_000025,current,IN,2025-06-01T03:40:24,active
ACC_000026,salary,IN,2026-05-31T03:09:17,active
ACC_000027,current,IN,2024-03-19T22:48:13,active
ACC_000028,savings,IN,2025-02-07T12:20:46,active
ACC_000029,current,IN,2025-07-06T21:07:27,active
ACC_000030,current,IN,2023-11-07T13:57:54,active
ACC_000031,savings,IN,2024-07-12T05:28:15,active
ACC_000032,current,IN,2023-12-09T17:45:29,active
ACC_000033,savings,IN,2024-08-22T23:48:14,inactive
ACC_000034,salary,IN,2023-10-23T06:32:15,active
ACC_000035,salary,IN,2026-04-07T00:41:56,active
ACC_000036,salary,IN,2025-02-18T10:04:05,active
ACC_000037,savings,IN,2023-11-03T14:53:18,suspended
ACC_000038,salary,IN,2025-11-14T06:39:15,active
ACC_000039,savings,IN,2025-01-15T12:11:38,active
ACC_000040,salary,IN,2025-06-15T13:49:48,active
ACC_000041,savings,IN,2025-06-25T10:59:07,active
ACC_000042,current,IN,2025-05-05T22:47:09,active
ACC_000043,salary,IN,2025-04-29T00:11:05,active
ACC_000044,current,IN,2024-02-23T00:48:04,active
ACC_000045,savings,IN,2025-01-15T09:23:07,active
ACC_000046,current,IN,2024-11-20T08:03:12,active
ACC_000047,savings,IN,2024-04-23T13:03:55,active
ACC_000048,salary,IN,2024-01-14T05:58:03,active
ACC_000049,savings,IN,2024-06-26T04:44:06,active
ACC_000050,current,IN,2024-05-19T11:22:14,active
ACC_000051,savings,IN,2025-11-05T04:22:10,active
ACC_000052,current,IN,2025-11-23T08:50:44,active
ACC_000053,current,IN,2025-09-22T22:48:34,active
ACC_000054,salary,IN,2025-01-20T20:24:45,active
ACC_000055,salary,IN,2024-03-10T13:46:24,active
ACC_000056,savings,IN,2026-02-09T15:09:41,active
ACC_000057,savings,IN,2026-07-24T06:50:03,active
ACC_000058,current,IN,2024-09-06T16:04:38,active
ACC_000059,current,IN,2024-01-31T14:00:25,active
ACC_000060,savings,IN,2023-09-24T22:00:59,active
ACC_000061,savings,IN,2026-08-14T21:15:36,inactive
ACC_000062,savings,IN,2026-06-21T20:24:16,active
ACC_000063,current,IN,2023-12-02T18:01:56,active
ACC_000064,current,IN,2025-09-13T05:44:43,active
ACC_000065,current,IN,2026-08-19T18:03:50,active
ACC_000066,salary,IN,2024-09-10T18:15:07,active
ACC_000067,salary,IN,2026-01-02T00:32:47,active
ACC_000068,current,IN,2025-01-26T12:19:25,active
ACC_000069,salary,IN,2025-11-30T08:53:07,active
ACC_000070,salary,IN,2025-12-23T08:59:19,active
ACC_000071,savings,IN,2025-03-25T17:12:48,active
ACC_000072,salary,IN,2023-10-16T00:01:03,active
ACC_000073,salary,IN,2024-06-25T05:28:27,active
ACC_000074,current,IN,2024-06-24T20:08:26,active
ACC_000075,current,IN,2026-06-19T02:54:27,active
ACC_000076,salary,IN,2024-10-01T20:38:37,active
ACC_000077,current,IN,2026-07-11T12:17:19,active
ACC_000078,current,IN,2024-12-13T16:09:33,active
ACC_000079,current,IN,2023-08-31T02:52:48,active
ACC_000080,current,IN,2023-08-30T11:05:54,active
ACC_000081,salary,IN,2026-06-01T22:20:54,active
ACC_000082,savings,IN,2024-04-04T19:52:52,active
ACC_000083,savings,IN,2026-03-20T07:10:37,active
ACC_000084,salary,IN,2024-09-12T21:17:40,active
ACC_000085,savings,IN,2024-08-19T09:17:00,inactive
ACC_000086,current,IN,2025-01-21T16:04:32,active
ACC_000087,current,IN,2023-12-14T17:25:22,active
ACC_000088,current,IN,2025-07-29T05:32:16,active
ACC_000089,current,IN,2024-08-11T20:41:08,active
ACC_000090,salary,IN,2024-04-23T01:13:46,active
ACC_000091,savings,IN,2026-06-01T05:38:34,active
ACC_000092,salary,IN,2026-05-09T18:54:21,active
ACC_000093,salary,IN,2024-01-15T09:02:00,inactive
ACC_000094,savings,IN,2023-11-03T15:20:21,active
ACC_000095,current,IN,2024-11-14T17:18:54,active
ACC_000096,savings,IN,2024-11-27T10:35:03,active
ACC_000097,savings,IN,2025-01-12T23:31:23,inactive
ACC_000098,savings,IN,2024-10-04T01:42:48,active
ACC_000099,savings,IN,2025-03-30T22:49:45,active
ACC_000100,current,IN,2023-10-13T12:55:05,active
ACC_000101,savings,IN,2024-07-19T01:03:23,active
ACC_000102,current,IN,2024-05-23T02:01:42,active
ACC_000103,salary,IN,2025-01-19T17:05:00,active
ACC_000104,salary,IN,2024-08-03T11:42:55,active
ACC_000105,salary,IN,2026-04-22T09:40:28,active
ACC_000106,current,IN,2024-08-22T04:18:06,active
ACC_000107,current,IN,2025-12-04T08:18:59,active
ACC_000108,current,IN,2024-04-27T06:58:40,active
ACC_000109,savings,IN,2023-09-28T14:08:52,active
ACC_000110,current,IN,2024-05-08T23:20:14,active
ACC_000111,salary,IN,2023-11-08T06:42:32,active
ACC_000112,current,IN,2024-08-05T05:05:56,active
ACC_000113,current,IN,2025-10-05T14:07:57,active
ACC_000114,savings,IN,2025-09-18T06:38:12,active
ACC_000115,salary,IN,2024-08-13T11:26:48,active
ACC_000116,current,IN,2025-12-31T15:23:09,active
ACC_000117,salary,IN,2025-07-04T20:14:36,active
ACC_000118,savings,IN,2024-12-18T13:37:09,active
ACC_000119,savings,IN,2025-02-25T14:25:21,active
ACC_000120,savings,IN,2025-06-19T17:54:49,active
ACC_000121,current,IN,2025-10-03T00:01:20,active
ACC_000122,savings,IN,2026-04-22T17:17:35,active
ACC_000123,current,IN,2024-05-21T15:41:56,active
ACC_000124,savings,IN,2025-12-23T22:55:10,active
ACC_000125,savings,IN,2026-01-01T15:07:15,active
ACC_000126,current,IN,2025-09-30T11:31:54,active
ACC_000127,salary,IN,2026-05-05T23:39:49,active
ACC_000128,savings,IN,2025-01-31T03:42:14,active
ACC_000129,savings,IN,2024-06-03T14:16:39,suspended
ACC_000130,salary,IN,2024-11-09T00:08:55,active
ACC_000131,salary,IN,2026-01-21T23:07:52,inactive
ACC_000132,salary,IN,2024-08-04T13:25:59,active
ACC_000133,salary,IN,2023-11-14T22:02:45,active
ACC_000134,salary,IN,2025-02-14T04:21:40,active
ACC_000135,current,IN,2024-09-03T03:57:27,active
ACC_000136,savings,IN,2024-03-14T17:32:23,active
ACC_000137,savings,IN,2024-10-05T10:29:44,active
ACC_000138,current,IN,2025-12-08T08:33:28,active
ACC_000139,savings,IN,2024-05-28T01:39:43,active
ACC_000140,salary,IN,2026-07-21T15:51:59,active
ACC_000141,current,IN,2025-02-15T09:52:53,active
ACC_000142,salary,IN,2024-02-21T22:09:12,active
ACC_000143,salary,IN,2026-02-23T02:28:58,active
ACC_000144,salary,IN,2024-12-30T20:36:17,active
ACC_000145,current,IN,2023-11-21T09:03:21,active
ACC_000146,current,IN,2026-05-25T18:49:44,active
ACC_000147,savings,IN,2024-02-15T20:03:26,active
ACC_000148,salary,IN,2026-02-02T16:22:58,active
ACC_000149,savings,IN,2026-07-14T18:43:47,active
ACC_000150,current,IN,2026-07-08T14:26:01,active
ACC_000151,salary,IN,2024-04-06T22:57:51,active
ACC_000152,salary,IN,2026-06-28T18:03:07,active
ACC_000153,savings,IN,2026-02-19T10:14:08,active
ACC_000154,salary,IN,2025-01-17T05:36:19,active
ACC_000155,current,IN,2026-07-02T22:24:00,active
ACC_000156,savings,IN,2025-07-03T00:50:51,active
ACC_000157,current,IN,2024-03-24T16:48:46,active
ACC_000158,savings,IN,2024-07-20T11:20:22,active
ACC_000159,current,IN,2024-07-31T18:52:25,active
ACC_000160,savings,IN,2024-04-28T21:07:23,active
ACC_000161,salary,IN,2024-01-01T06:02:05,active
ACC_000162,savings,IN,2024-11-26T16:49:25,active
ACC_000163,salary,IN,2026-03-26T19:33:48,active
ACC_000164,salary,IN,2025-10-17T21:03:39,active
ACC_000165,savings,IN,2026-01-23T10:37:42,active
ACC_000166,salary,IN,2024-06-05T15:45:44,active
ACC_000167,salary,IN,2025-10-01T05:02:38,active
ACC_000168,current,IN,2024-04-03T23:11:45,active
ACC_000169,savings,IN,2023-09-20T14:57:20,active
ACC_000170,current,IN,2026-07-18T23:51:26,active
ACC_000171,salary,IN,2023-09-14T22:35:03,active
