transaction_id,account_id,merchant_id,amount,currency,status,payment_method,transaction_timestamp
TXN_000010001,ACC_000274,MER_00193,4984.78,INR,success,card,2026-08-24T19:12:23.963250
TXN_000010002,ACC_000392,MER_00085,4120.7,INR,success,upi,2026-08-24T19:12:23.963277
TXN_000010003,ACC_000892,MER_00055,2726.57,INR,success,card,2026-08-24T19:12:23.963284
TXN_000010004,ACC_000949,MER_00043,3465.49,INR,failed,upi,2026-08-24T19:12:23.963288
TXN_000010005,ACC_000109,MER_00198,4173.96,INR,failed,net_banking,2026-08-24T19:12:23.963293
TXN_000010006,ACC_000861,MER_00111,3567.16,INR,success,wallet,2026-08-24T19:12:23.963297
TXN_000010007,ACC_000582,MER_00051,195.29,INR,success,net_banking,2026-08-24T19:12:23.963301
TXN_000010008,ACC_000141,MER_00058,3542.01,INR,success,net_banking,2026-08-24T19:12:23.963304
TXN_000010009,ACC_000196,MER_00133,4410.2,INR,success,net_banking,2026-08-24T19:12:23.963307
TXN_000010010,ACC_000765,MER_00103,3537.82,INR,success,upi,2026-08-24T19:12:23.963311
TXN_000010011,ACC_000864,MER_00173,230.95,INR,success,card,2026-08-24T19:12:23.963315
TXN_000010012,ACC_000862,MER_00090,3632.42,INR,success,wallet,2026-08-24T19:12:23.963318
TXN_000010013,ACC_000345,MER_00102,898.43,INR,success,upi,2026-08-24T19:12:23.963322
TXN_000010014,ACC_000569,MER_00178,3141.81,INR,success,upi,2026-08-24T19:12:23.963327
TXN_000010015,ACC_000322,MER_00088,1395.39,INR,success,upi,2026-08-24T19:12:23.963330
TXN_000010016,ACC_000421,MER_00162,525.34,INR,success,wallet,2026-08-24T19:12:23.963337
TXN_000010017,ACC_000098,MER_00189,4609.21,INR,success,wallet,2026-08-24T19:12:23.963340
TXN_000010018,ACC_000925,MER_00196,2753.77,INR,success,card,2026-08-24T19:12:23.963344
TXN_000010019,ACC_000471,MER_00048,3158.17,INR,success,card,2026-08-24T19:12:23.963347
TXN_000010020,ACC_000210,MER_00165,1369.45,INR,success,upi,2026-08-24T19:12:23.963351
TXN_000010021,ACC_000307,MER_00007,1720.39,INR,success,net_banking,2026-08-24T19:12:23.963354
TXN_000010022,ACC_000024,MER_00024,2472.27,INR,success,upi,2026-08-24T19:12:23.963358
TXN_000010023,ACC_000998,MER_00079,1296.75,INR,success,upi,2026-08-24T19:12:23.963361
TXN_000010024,ACC_000748,MER_00146,2332.94,INR,success,net_banking,2026-08-24T19:12:23.963365
TXN_000010025,ACC_000479,MER_00040,973.12,INR,success,card,2026-08-24T19:12:23.963368
TXN_000010026,ACC_000260,MER_00071,1020.77,INR,success,wallet,2026-08-24T19:12:23.963372
TXN_000010027,ACC_000142,MER_00012,4736.62,INR,success,wallet,2026-08-24T19:12:23.963375
TXN_000010028,ACC_000776,MER_00040,488.61,INR,success,wallet,2026-08-24T19:12:23.963378
TXN_000010029,ACC_000405,MER_00101,1379.79,INR,success,card,2026-08-24T19:12:23.963382
TXN_000010030,ACC_000597,MER_00089,3012.23,INR,success,net_banking,2026-08-24T19:12:23.963385
TXN_000010031,ACC_000848,MER_00105,2730.57,INR,success,wallet,2026-08-24T19:12:23.963389
TXN_000010032,ACC_000002,MER_00103,4499.83,INR,success,wallet,2026-08-24T19:12:23.963392
TXN_000010033,ACC_000474,MER_00061,3554.58,INR,success,upi,2026-08-24T19:12:23.963396
TXN_000010034,ACC_000371,MER_00189,3158.15,INR,success,card,2026-08-24T19:12:23.963399
TXN_000010035,ACC_000253,MER_00080,3381.04,INR,success,upi,2026-08-24T19:12:23.963406
TXN_000010036,ACC_000396,MER_00035,1756.63,INR,success,wallet,2026-08-24T19:12:23.963413
TXN_000010037,ACC_000897,MER_00076,4517.06,INR,success,card,2026-08-24T19:12:23.963417
TXN_000010038,ACC_000805,MER_00162,802.7,INR,success,net_banking,2026-08-24T19:12:23.963420
TXN_000010039,ACC_000377,MER_00111,2641.07,INR,success,card,2026-08-24T19:12:23.963424
TXN_000010040,ACC_000706,MER_00067,428.43,INR,success,net_banking,2026-08-24T19:12:23.963427
TXN_000010041,ACC_000875,MER_00081,2097.24,INR,success,upi,2026-08-24T19:12:23.963430
TXN_000010042,ACC_000952,MER_00120,1229.38,INR,success,card,2026-08-24T19:12:23.963434
TXN_000010043,ACC_000845,MER_00068,2429.91,INR,success,card,2026-08-24T19:12:23.963437
TXN_000010044,ACC_000583,MER_00143,2362.24,INR,success,net_banking,2026-08-24T19:12:23.963440
TXN_000010045,ACC_000665,MER_00083,645.09,INR,success,card,2026-08-24T19:12:23.963444
TXN_000010046,ACC_000186,MER_00109,3004.31,INR,success,net_banking,2026-08-24T19:12:23.963447
TXN_000010047,ACC_000628,MER_00102,200.58,INR,pending,wallet,2026-08-24T19:12:23.963450
TXN_000010048,ACC_000695,MER_00141,263.96,INR,success,wallet,2026-08-24T19:12:23.963453
TXN_000010049,ACC_000508,MER_00140,3858.62,INR,success,upi,2026-08-24T19:12:23.963457
TXN_000010050,ACC_000928,MER_00120,196.82,INR,success,upi,2026-08-24T19:12:23.963460
TXN_000010051,ACC_000420,MER_00076,1061.16,INR,success,card,2026-08-24T19:12:23.963463
TXN_000010052,ACC_000603,MER_00182,874.27,INR,success,card,2026-08-24T19:12:23.963467
TXN_000010053,ACC_000598,MER_00071,2528.28,INR,success,net_banking,2026-08-24T19:12:23.963470
TXN_000010054,ACC_000818,MER_00006,3469.88,INR,success,card,2026-08-24T19:12:23.963474
TXN_000010055,ACC_000395,MER_00181,2093.74,INR,success,upi,2026-08-24T19:12:23.963479
TXN_000010056,ACC_000477,MER_00112,4486.08,INR,success,upi,2026-08-24T19:12:23.963482
TXN_000010057,ACC_000158,MER_00161,114.06,INR,success,wallet,2026-08-24T19:12:23.963487
TXN_000010058,ACC_000802,MER_00117,2151.31,INR,pending,card,2026-08-24T19:12:23.963490
TXN_000010059,ACC_000079,MER_00155,4675.44,INR,success,upi,2026-08-24T19:12:23.963493
TXN_000010060,ACC_000512,MER_00026,1374.58,INR,success,card,2026-08-24T19:12:23.963497
TXN_000010061,ACC_000312,MER_00051,1126.46,INR,pending,card,2026-08-24T19:12:23.963500
TXN_000010062,ACC_000539,MER_00192,2883.49,INR,success,wallet,2026-08-24T19:12:23.963504
TXN_000010063,ACC_000264,MER_00151,1215.54,INR,success,upi,2026-08-24T19:12:23.963507
TXN_000010064,ACC_000361,MER_00072,4115.14,INR,success,wallet,2026-08-24T19:12:23.963510
TXN_000010065,ACC_000257,MER_00072,1966.47,INR,success,card,2026-08-24T19:12:23.963514
TXN_000010066,ACC_000795,MER_00022,4066.96,INR,success,card,2026-08-24T19:12:23.963518
TXN_000010067,ACC_000144,MER_00073,3059.6,INR,success,wallet,2026-08-24T19:12:23.963521
TXN_000010068,ACC_000125,MER_00023,3501.76,INR,success,net_banking,2026-08-24T19:12:23.963524
TXN_000010069,ACC_000883,MER_00050,2460.48,INR,success,upi,2026-08-24T19:12:23.963528
TXN_000010070,ACC_000799,MER_00035,3567.14,INR,success,net_banking,2026-08-24T19:12:23.963531
TXN_000010071,ACC_000202,MER_00032,2739.84,INR,success,card,2026-08-24T19:12:23.963535
TXN_000010072,ACC_000339,MER_00167,1466.56,INR,success,wallet,2026-08-24T19:12:23.963538
TXN_000010073,ACC_000194,MER_00058,2938.16,INR,success,wallet,2026-08-24T19:12:23.963542
TXN_000010074,ACC_000027,MER_00094,2685.47,INR,success,net_banking,2026-08-24T19:12:23.963546
TXN_000010075,ACC_000085,MER_00081,4460.23,INR,success,upi,2026-08-24T19:12:23.963551
