transaction_id,account_id,merchant_id,amount,currency,status,payment_method,transaction_timestamp
TXN_000000001,ACC_000655,MER_00040,153.21,INR,success,upi,2026-07-20T15:49:51.760363
TXN_000000002,ACC_000724,MER_00106,150.31,INR,success,net_banking,2026-08-23T08:30:20.760363
TXN_000000003,ACC_000070,MER_00096,246.54,INR,success,net_banking,2026-07-06T17:11:59.760363
TXN_000000004,ACC_000035,MER_00140,320.04,INR,success,upi,2026-07-08T23:58:27.760363
TXN_000000005,ACC_000957,MER_00104,136.06,INR,success,card,2026-08-21T08:08:58.760363
TXN_000000006,ACC_000988,MER_00188,189.45,INR,success,upi,2026-08-09T09:42:29.760363
TXN_000000007,ACC_000829,MER_00100,283.48,INR,success,net_banking,2026-07-05T20:28:32.760363
TXN_000000008,ACC_000656,MER_00094,28.2,INR,success,card,2026-08-07T03:47:05.760363
TXN_000000009,ACC_000506,MER_00070,64.6,INR,failed,net_banking,2026-06-29T18:15:19.760363
TXN_000000010,ACC_000667,MER_00109,270.94,INR,pending,upi,2026-08-04T05:02:20.760363
TXN_000000011,ACC_000241,MER_00093,132.16,INR,pending,net_banking,2026-06-23T10:03:42.760363
TXN_000000012,ACC_000953,MER_00196,498.11,INR,success,upi,2026-06-11T09:04:57.760363
TXN_000000013,ACC_000665,MER_00173,212.83,INR,success,net_banking,2026-05-28T04:22:07.760363
TXN_000000014,ACC_000621,MER_00045,428.57,INR,failed,net_banking,2026-07-04T21:55:32.760363
TXN_000000015,ACC_000391,MER_00144,175.55,INR,success,net_banking,2026-06-30T20:30:59.760363
TXN_000000016,ACC_000696,MER_00194,264.66,INR,success,wallet,2026-07-14T10:09:28.760363
TXN_000000017,ACC_000151,MER_00161,221.71,INR,success,wallet,2026-07-07T12:10:01.760363
TXN_000000018,ACC_000332,MER_00079,728.14,INR,success,wallet,2026-08-17T21:10:28.760363
TXN_000000019,ACC_000502,MER_00024,464.04,INR,success,upi,2026-06-26T03:58:06.760363
TXN_000000020,ACC_000467,MER_00143,147.52,INR,success,net_banking,2026-08-21T14:30:37.760363
TXN_000000021,ACC_000633,MER_00182,426.43,INR,success,card,2026-06-10T22:39:44.760363
TXN_000000022,ACC_000344,MER_00032,361.99,INR,success,card,2026-08-04T03:54:34.760363
TXN_000000023,ACC_000504,MER_00116,359.0,INR,success,net_banking,2026-08-16T22:08:59.760363
TXN_000000024,ACC_000330,MER_00167,74.68,INR,success,upi,2026-08-02T14:52:26.760363
TXN_000000025,ACC_000809,MER_00018,53.79,INR,success,net_banking,2026-07-06T13:59:50.760363
TXN_000000026,ACC_000571,MER_00089,438.63,INR,success,upi,2026-07-10T19:16:15.760363
TXN_000000027,ACC_000867,MER_00161,616.98,INR,success,card,2026-08-12T08:24:32.760363
TXN_000000028,ACC_000714,MER_00015,197.69,INR,pending,card,2026-06-07T17:06:03.760363
TXN_000000029,ACC_000539,MER_00067,158.7,INR,success,upi,2026-08-15T19:03:50.760363
TXN_000000030,ACC_000367,MER_00126,793.05,INR,success,card,2026-07-30T12:46:39.760363
TXN_000000031,ACC_000408,MER_00091,583.06,INR,success,wallet,2026-07-23T17:12:29.760363
TXN_000000032,ACC_000580,MER_00117,1300.54,INR,success,upi,2026-08-11T15:01:55.760363
TXN_000000033,ACC_000558,MER_00116,401.49,INR,success,wallet,2026-08-07T12:40:51.760363
TXN_000000034,ACC_000257,MER_00066,56.55,INR,success,card,2026-06-01T18:55:16.760363
